SYMBOL,DATE,qnty_per_trade,avg_qnty_per_trade,deliv_qty,avg_deliv_qty,trade_qty_deviation,delivery_qty_deviation,F&O,NIFTY_500,ROC_RS_7,ROC_RS_14,AD_Count,DD_Count,NA_Count,vwap_positive_7days,vwap_negative_7days,vwap_positive_14days,vwap_negative_14days
PCBL,2025-01-01,35,43.0,479915,989430.0,-17.0,-51.0,N,Y,0.0,1.04712,7,2,16,3,4,6,8
PCJEWELLER,2025-01-01,493,347.0,4855977,5091655.0,41.0,-4.0,N,N,0.0,-90.277778,9,5,11,1,1,1,1
PDMJEPAPER,2025-01-01,104,67.0,211958,340945.0,54.0,-37.0,N,N,-6.741573,12.162162,7,2,16,4,3,8,6
PDSL,2025-01-01,16,25.0,18398,160971.0,-33.0,-88.0,N,N,2.057613,4.201681,7,4,14,6,1,9,5
PEARLPOLY,2025-01-01,35,78.0,17406,115271.0,-54.0,-84.0,N,N,-5.882353,6.666667,8,2,15,2,5,5,9
PEL,2025-01-01,15,18.0,55025,172593.0,-13.0,-68.0,Y,Y,0.875274,-10.136452,4,5,16,4,3,7,7
PENIND,2025-01-01,58,81.0,345615,292185.0,-28.0,18.0,N,N,7.5,-1.149425,11,2,12,4,3,5,9
PENINLAND,2025-01-01,125,161.0,173410,255203.0,-22.0,-32.0,N,N,0.0,-5.0,4,7,14,2,5,2,12
PERSISTENT,2025-01-01,6,8.0,48745,256286.0,-19.0,-80.0,Y,Y,0.55638,3.394355,9,0,16,5,2,9,5
PETRONET,2025-01-01,41,66.0,290279,1513497.0,-37.0,-80.0,Y,Y,2.097902,4.285714,8,4,13,5,2,9,5
PFC,2025-01-01,67,88.0,817228,4389695.0,-24.0,-81.0,Y,Y,-1.5625,-8.695652,5,5,15,4,3,6,8
PFIZER,2025-01-01,3,3.0,12375,31069.0,-10.0,-60.0,N,Y,9.882006,7.971014,6,4,15,5,2,8,6
PFOCUS,2025-01-01,65,59.0,18426,45455.0,11.0,-59.0,N,N,3.508772,15.686275,9,1,15,4,3,6,8
PFS,2025-01-01,153,151.0,196668,546618.0,0.0,-64.0,N,N,5.882353,0.0,8,4,13,3,3,5,8
PGEL,2025-01-01,19,24.0,550836,788296.0,-18.0,-30.0,N,N,7.75,23.495702,12,1,12,3,4,7,7
PGHH,2025-01-01,2,2.0,1316,2404.0,-15.0,-45.0,N,Y,-1.547296,-4.116825,4,8,13,4,3,9,5
PGHL,2025-01-01,1,3.0,761,3645.0,-44.0,-79.0,N,N,-3.80744,-5.380973,5,4,16,4,3,8,6
PGIL,2025-01-01,9,11.0,27399,46362.0,-20.0,-40.0,N,N,5.183946,22.851562,5,1,19,5,2,8,6
PHARMABEES,2025-01-01,207,347.0,1422980,2732673.0,-40.0,-47.0,N,N,0.0,11.111111,9,3,13,5,2,8,6
PHOENIXLTD,2025-01-01,9,10.0,138712,271359.0,-4.0,-48.0,N,Y,-4.017217,-11.037234,6,8,11,3,4,4,10
PIDILITIND,2025-01-01,16,11.0,337333,223494.0,43.0,50.0,Y,Y,-2.976669,-7.159353,4,5,16,2,5,4,10
PIIND,2025-01-01,5,11.0,44429,251692.0,-48.0,-82.0,Y,Y,-2.8125,-5.757576,3,9,13,4,3,6,8
PILANIINVS,2025-01-01,3,3.0,3172,3375.0,7.0,-6.0,N,N,-0.69808,-8.151735,5,6,14,1,6,3,11
PILITA,2025-01-01,117,277.0,30290,115366.0,-57.0,-73.0,N,N,0.0,0.0,4,6,15,3,4,5,9
PITTIENG,2025-01-01,4,10.0,8514,48814.0,-52.0,-82.0,N,N,-3.28152,-3.614458,6,6,13,4,3,8,6
PIXTRANS,2025-01-01,6,6.0,10837,16464.0,6.0,-34.0,N,N,7.72317,10.607621,6,4,15,3,4,5,9
PLASTIBLEN,2025-01-01,18,24.0,8556,7061.0,-23.0,21.0,N,N,7.920792,0.925926,7,5,13,3,4,5,9
PLATIND,2025-01-01,44,52.0,68691,224259.0,-14.0,-69.0,N,N,0.549451,-4.188482,5,5,15,3,4,6,8
PLAZACABLE,2025-01-01,25,45.0,11021,67897.0,-43.0,-83.0,N,N,0.0,3.125,7,2,16,2,5,3,11
PNB,2025-01-01,265,274.0,2164870,9633902.0,-3.0,-77.0,Y,Y,0.0,-2.272727,6,4,15,4,3,6,8
PNBGILTS,2025-01-01,85,78.0,174629,182622.0,8.0,-4.0,N,N,0.0,-4.081633,6,6,13,2,5,4,10
PNBHOUSING,2025-01-01,19,18.0,318472,409598.0,3.0,-22.0,N,Y,7.605634,1.058201,7,3,15,5,2,7,7
PNC,2025-01-01,34,52.0,10780,19159.0,-33.0,-43.0,N,N,-4.0,-4.0,6,5,14,2,5,2,12
PNCINFRA,2025-01-01,27,35.0,324914,335358.0,-23.0,-3.0,N,Y,6.976744,1.470588,5,5,15,5,2,8,6
PNGJL,2025-01-01,24,26.0,254193,238874.0,-10.0,6.0,N,N,-5.405405,-7.590759,6,5,14,1,6,6,8
POCL,2025-01-01,20,17.0,46830,43034.0,14.0,8.0,N,N,-1.842105,1.912568,6,5,14,3,4,5,9
PODDARMENT,2025-01-01,26,11.0,5704,2366.0,120.0,141.0,N,N,2.597403,0.636943,6,6,13,3,4,7,7
POKARNA,2025-01-01,10,13.0,10662,41281.0,-21.0,-74.0,N,N,-2.04499,-0.208333,8,3,14,3,4,6,8
POLICYBZR,2025-01-01,17,20.0,434689,788771.0,-15.0,-44.0,Y,Y,0.224467,2.408257,7,5,13,4,3,7,7
POLYCAB,2025-01-01,6,7.0,43200,103816.0,-14.0,-58.0,Y,Y,3.169837,1.377049,10,2,13,5,2,8,6
POLYMED,2025-01-01,5,5.0,16997,61006.0,1.0,-72.0,N,Y,6.710775,-4.64527,5,6,14,3,4,5,9
POLYPLEX,2025-01-01,10,11.0,79310,72112.0,-2.0,9.0,N,N,6.331471,-0.522648,7,1,17,4,3,7,7
PONNIERODE,2025-01-01,19,16.0,6480,9790.0,16.0,-33.0,N,N,-1.156069,0.0,6,5,14,2,5,5,9
POONAWALLA,2025-01-01,62,64.0,242793,590818.0,-2.0,-58.0,Y,Y,-1.492537,-9.589041,5,7,13,2,5,3,11
POWERGRID,2025-01-01,28,104.0,1753293,6293941.0,-72.0,-72.0,Y,Y,-1.503759,-2.238806,4,7,14,3,4,7,7
POWERINDIA,2025-01-01,3,3.0,32264,26761.0,13.0,20.0,N,Y,13.581542,21.480651,8,5,12,5,2,10,4
POWERMECH,2025-01-01,6,4.0,40125,25154.0,46.0,59.0,N,N,6.226766,2.053571,8,3,14,3,4,5,9
PPAP,2025-01-01,30,25.0,44080,39276.0,19.0,12.0,N,N,7.692308,12.643678,8,3,14,1,6,3,11
PPL,2025-01-01,29,19.0,52305,42718.0,52.0,22.0,N,N,3.414634,-4.504505,5,5,15,2,5,3,11
PPLPHARMA,2025-01-01,61,76.0,1498242,1525926.0,-18.0,-1.0,N,Y,0.925926,5.825243,7,4,14,4,3,7,7
PRAENG,2025-01-01,78,103.0,46774,58255.0,-24.0,-19.0,N,N,0.0,-7.692308,5,7,13,1,5,3,10
PRAJIND,2025-01-01,30,21.0,1025669,228683.0,45.0,348.0,N,Y,5.014749,8.868502,7,3,15,2,5,4,10
PRAKASH,2025-01-01,39,52.0,237983,308903.0,-23.0,-22.0,N,N,0.0,-8.219178,6,4,15,3,4,5,9
PRAKASHSTL,2025-01-01,344,248.0,370021,352540.0,38.0,4.0,N,N,33.333333,0.0,5,5,15,1,6,3,11
PRECAM,2025-01-01,38,48.0,66788,145606.0,-21.0,-54.0,N,N,7.142857,2.739726,7,4,14,3,4,5,9
PRECWIRE,2025-01-01,20,52.0,135038,123953.0,-61.0,8.0,N,N,0.0,-6.493506,6,5,14,4,3,5,9
PREMEXPLN,2025-01-01,31,35.0,50714,168988.0,-12.0,-69.0,N,N,4.608295,18.848168,9,4,12,1,6,5,9
PREMIERENE,2025-01-01,26,35.0,370910,583537.0,-25.0,-36.0,N,N,0.899281,5.253283,9,2,14,3,4,6,8
PRESTIGE,2025-01-01,15,16.0,166330,549268.0,-10.0,-69.0,Y,Y,-5.818674,-1.833568,5,5,15,4,3,7,7
PRICOLLTD,2025-01-01,17,17.0,95506,303102.0,0.0,-68.0,N,N,-4.201681,10.144928,10,3,12,2,5,4,10
PRIMESECU,2025-01-01,22,37.0,11719,52128.0,-38.0,-77.0,N,N,-0.840336,-0.840336,6,7,12,3,4,6,8
PRINCEPIPE,2025-01-01,15,13.0,47773,106577.0,7.0,-55.0,N,N,5.847953,4.624277,5,6,14,4,3,9,5
PRITI,2025-01-01,27,25.0,17538,22836.0,7.0,-23.0,N,N,1.694915,-4.761905,6,5,14,1,6,3,11
PRITIKAUTO,2025-01-01,120,193.0,86075,271780.0,-37.0,-68.0,N,N,10.0,0.0,3,10,12,3,3,4,9
PRIVISCL,2025-01-01,14,12.0,19850,24180.0,21.0,-17.0,N,N,2.170963,-1.439791,4,7,14,4,3,6,8
PROZONER,2025-01-01,1690,224.0,3336146,295132.0,651.0,1030.0,N,N,40.0,40.0,9,2,14,4,3,7,7
PRSMJOHNSN,2025-01-01,23,32.0,25710,101701.0,-29.0,-74.0,N,N,0.0,-8.860759,4,5,16,1,6,2,12
PRUDENT,2025-01-01,3,3.0,4831,13948.0,-3.0,-65.0,N,N,-0.606586,-4.971002,3,6,16,2,5,8,6
PSB,2025-01-01,152,143.0,147026,202055.0,6.0,-27.0,N,N,5.0,0.0,4,12,9,2,5,3,11
PSPPROJECT,2025-01-01,14,35.0,55176,106344.0,-59.0,-48.0,N,N,-1.748252,3.690037,9,4,12,4,3,8,6
PSUBANK,2025-01-01,12,61.0,2931,32411.0,-80.0,-90.0,N,N,-1.075269,-3.496503,4,5,16,4,3,8,6
PSUBANKADD,2025-01-01,52,87.0,2906,8967.0,-40.0,-67.0,N,N,0.0,-3.448276,6,5,14,3,4,5,9
PSUBNKBEES,2025-01-01,181,284.0,409145,1598349.0,-36.0,-74.0,N,N,0.0,-3.125,4,7,14,4,3,6,8
