TICKER,NSE CODE,GOOGLE CODE,LAST PRICE,ATM STRIKE,ATM CE VALUE,ATM PE VALUE,UPPER BAND CONS,LOWER BAND CONS,COMBINED PREMIUM,% PREMIUM
XNSE:SYNGENE,SYNGENE,NSE:SYNGENE,826.2,830.0,25.25,29.65,884.9,775.1,54.9,6.64%
XNSE:TATACHEM,TATACHEM,NSE:TATACHEM,950.7,960.0,22.15,31.2,1013.35,906.65,53.35,5.61%
XNSE:TATACOMM,TATACOMM,NSE:TATACOMM,1634.3,1640.0,46.5,51.1,1737.6,1542.4,97.6,5.97%
XNSE:TATACONSUM,TATACONSUM,NSE:TATACONSUM,965.8,970.0,18.25,23.0,1011.25,928.75,41.25,4.27%
XNSE:TATAELXSI,TATAELXSI,NSE:TATAELXSI,5930.05,5900.0,170.0,140.15,6210.15,5589.85,310.15,5.23%
XNSE:TATAMOTORS,TATAMOTORS,NSE:TATAMOTORS,753.95,750.0,23.55,19.25,792.8,707.2,42.8,5.68%
XNSE:TATAPOWER,TATAPOWER,NSE:TATAPOWER,341.4,340.0,10.6,9.1,359.7,320.3,19.7,5.77%
XNSE:TATASTEEL,TATASTEEL,NSE:TATASTEEL,123.24,123.0,3.4,3.15,129.55,116.45,6.55,5.31%
XNSE:TCS,TCS,NSE:TCS,4232.95,4250.0,65.95,84.9,4400.85,4099.15,150.85,3.56%
XNSE:TECHM,TECHM,NSE:TECHM,1661.4,1660.0,47.25,46.7,1753.95,1566.05,93.95,5.65%
XNSE:TIINDIA,TIINDIA,NSE:TIINDIA,3243.55,3250.0,489.65,126.1,3865.75,2634.25,615.75,18.98%
XNSE:TITAN,TITAN,NSE:TITAN,3394.05,3400.0,68.75,73.45,3542.2,3257.8,142.2,4.19%
XNSE:TORNTPHARM,TORNTPHARM,NSE:TORNTPHARM,3244.45,3250.0,73.15,77.15,3400.3,3099.7,150.3,4.63%
XNSE:TRENT,TRENT,NSE:TRENT,6236.65,6200.0,215.5,178.45,6593.95,5806.05,393.95,6.32%
XNSE:TVSMOTOR,TVSMOTOR,NSE:TVSMOTOR,2186.5,2180.0,66.95,58.75,2305.7,2054.3,125.7,5.75%
XNSE:UBL,UBL,NSE:UBL,1940.4,1940.0,46.25,45.8,2032.05,1847.95,92.05,4.74%
XNSE:ULTRACEMCO,ULTRACEMCO,NSE:ULTRACEMCO,10662.1,10700.0,241.9,278.4,11220.3,10179.7,520.3,4.88%
XNSE:UNIONBANK,UNIONBANK,NSE:UNIONBANK,101.47,101.0,23.65,3.0,127.65,74.35,26.65,26.26%
XNSE:UNITDSPR,UNITDSPR,NSE:UNITDSPR,1488.95,1480.0,43.85,35.35,1559.2,1400.8,79.2,5.32%
XNSE:UPL,UPL,NSE:UPL,534.7,537.2,14.25,,,,14.25,2.67%
XNSE:VBL,VBL,NSE:VBL,576.95,580.0,14.8,18.05,612.85,547.15,32.85,5.69%
XNSE:VEDL,VEDL,NSE:VEDL,414.5,410.0,15.65,11.0,436.65,383.35,26.65,6.43%
XNSE:VOLTAS,VOLTAS,NSE:VOLTAS,1593.55,1600.0,41.45,49.0,1690.45,1509.55,90.45,5.68%
XNSE:WIPRO,WIPRO,NSE:WIPRO,292.15,292.5,9.65,9.9,312.05,272.95,19.55,6.69%
XNSE:YESBANK,YESBANK,NSE:YESBANK,17.16,17.0,0.8,0.65,18.45,15.55,1.45,8.45%
XNSE:ZOMATO,ZOMATO,NSE:ZOMATO,228.2,230.0,7.8,9.45,247.25,212.75,17.25,7.56%
XNSE:ZYDUSLIFE,ZYDUSLIFE,NSE:ZYDUSLIFE,978.15,980.0,21.4,23.2,1024.6,935.4,44.6,4.56%
