SYMBOL,DATE,qnty_per_trade,avg_qnty_per_trade,deliv_qty,avg_deliv_qty,trade_qty_deviation,delivery_qty_deviation,F&O,NIFTY_500,ROC_RS_7,ROC_RS_14,AD_Count,DD_Count,NA_Count,vwap_positive_7days,vwap_negative_7days,vwap_positive_14days,vwap_negative_14days
TAINWALCHM,2024-12-30,18,17.0,6644,5273.0,6.0,25.0,N,N,,,5,5,15,3,6,5,11
TAJGVK,2024-12-30,43,45.0,121111,249187.0,-4.0,-51.0,N,N,,,9,1,15,1,8,6,10
TAKE,2024-12-30,106,146.0,40270,68183.0,-27.0,-40.0,N,N,,,6,3,16,1,8,2,14
TALBROAUTO,2024-12-30,24,28.0,37359,47271.0,-15.0,-20.0,N,N,,,6,4,15,3,6,5,11
TANLA,2024-12-30,14,15.0,81492,180625.0,-11.0,-54.0,N,Y,,,5,7,13,3,6,4,12
TARACHAND,2024-12-30,85,101.0,122631,109661.0,-15.0,11.0,N,N,,,4,10,11,3,6,5,11
TARC,2024-12-30,71,84.0,176667,643765.0,-15.0,-72.0,N,N,,,4,8,13,4,5,6,10
TARMAT,2024-12-30,58,50.0,14425,28469.0,16.0,-49.0,N,N,,,6,6,13,0,9,2,14
TARSONS,2024-12-30,31,21.0,77403,74378.0,43.0,4.0,N,N,,,8,6,11,2,7,2,14
TASTYBITE,2024-12-30,2,2.0,651,1058.0,-3.0,-38.0,N,N,,,4,9,12,2,7,5,11
TATACHEM,2024-12-30,22,21.0,296601,225394.0,4.0,31.0,Y,Y,,,5,6,14,2,7,3,13
TATACOMM,2024-12-30,15,13.0,179920,148449.0,9.0,21.0,Y,Y,,,5,4,16,3,6,7,9
TATACONSUM,2024-12-30,28,23.0,1191997,722129.0,19.0,65.0,Y,Y,,,3,8,14,2,7,4,12
TATAELXSI,2024-12-30,5,5.0,58713,60706.0,-9.0,-3.0,Y,Y,,,6,6,13,4,5,7,9
TATAGOLD,2024-12-30,196,220.0,2446169,3285781.0,-11.0,-25.0,N,N,,,5,4,16,1,6,1,11
TATAINVEST,2024-12-30,5,5.0,15303,38430.0,-6.0,-60.0,N,Y,,,6,4,15,2,7,4,12
TATAMOTORS,2024-12-30,63,44.0,10451435,5188918.0,42.0,101.0,Y,Y,,,6,7,12,0,9,1,15
TATAPOWER,2024-12-30,165,73.0,20806455,2977342.0,126.0,598.0,Y,Y,,,5,8,12,2,7,4,12
TATASTEEL,2024-12-30,156,144.0,15534115,9819639.0,8.0,58.0,Y,Y,,,2,7,16,4,5,6,10
TATATECH,2024-12-30,13,16.0,371846,421695.0,-14.0,-11.0,N,Y,,,3,7,15,3,6,4,12
TATSILV,2024-12-30,317,426.0,930715,1348739.0,-25.0,-30.0,N,N,,,2,6,17,2,6,4,10
TATVA,2024-12-30,8,8.0,10437,10663.0,0.0,-2.0,N,N,,,7,3,15,3,6,5,11
TBOTEK,2024-12-30,7,7.0,96400,58151.0,-3.0,65.0,N,Y,,,7,2,16,3,6,6,10
TBZ,2024-12-30,41,35.0,102955,92203.0,17.0,11.0,N,N,,,6,3,16,0,9,1,15
TCI,2024-12-30,5,6.0,16083,14185.0,-18.0,13.0,N,N,,,7,4,14,3,6,3,13
TCIEXP,2024-12-30,12,14.0,12021,20691.0,-11.0,-41.0,N,N,,,5,5,15,4,5,7,9
TCLCONS,2024-12-30,31,48.0,20961,30870.0,-34.0,-32.0,N,N,,,7,6,12,4,5,4,11
TCPLPACK,2024-12-30,2,3.0,1462,1266.0,-18.0,15.0,N,N,,,9,4,12,4,5,6,10
TCS,2024-12-30,13,14.0,913896,1131137.0,-8.0,-19.0,Y,Y,,,6,6,13,5,4,8,8
TDPOWERSYS,2024-12-30,20,23.0,104280,295628.0,-12.0,-64.0,N,N,,,7,2,16,5,4,9,7
TEAMLEASE,2024-12-30,3,5.0,16689,23001.0,-35.0,-27.0,N,N,,,8,5,12,7,2,10,6
TECH,2024-12-30,118,91.0,18401,16406.0,29.0,12.0,N,N,,,5,4,16,4,4,9,6
TECHM,2024-12-30,60,17.0,5379514,817308.0,248.0,558.0,Y,Y,,,6,5,14,5,4,9,7
TECHNOE,2024-12-30,8,10.0,68165,163103.0,-21.0,-58.0,N,Y,,,7,5,13,3,6,8,8
TEGA,2024-12-30,4,13.0,12362,98389.0,-67.0,-87.0,N,N,,,4,8,13,5,4,8,8
TEJASNET,2024-12-30,17,21.0,201610,279216.0,-17.0,-27.0,N,Y,,,4,6,15,1,8,3,13
TEXINFRA,2024-12-30,133,124.0,334954,478531.0,7.0,-30.0,N,N,,,6,5,14,1,8,2,14
TEXMOPIPES,2024-12-30,49,38.0,15842,23886.0,29.0,-33.0,N,N,,,6,3,16,1,8,3,13
TEXRAIL,2024-12-30,50,69.0,656785,757340.0,-27.0,-13.0,N,N,,,8,3,14,1,8,3,13
TFCILTD,2024-12-30,122,127.0,296145,361813.0,-3.0,-18.0,N,N,,,6,3,16,3,6,6,10
TGBHOTELS,2024-12-30,145,158.0,28736,30097.0,-8.0,-4.0,N,N,,,6,8,11,2,7,5,11
THANGAMAYL,2024-12-30,6,8.0,9640,17976.0,-17.0,-46.0,N,N,,,4,4,17,5,4,8,8
THEINVEST,2024-12-30,21,37.0,10522,14556.0,-41.0,-27.0,N,N,,,5,6,14,1,8,3,12
THEJO,2024-12-30,7,5.0,4845,3945.0,28.0,22.0,N,N,,,4,7,14,3,6,7,9
THEMISMED,2024-12-30,38,38.0,39855,56917.0,0.0,-29.0,N,N,,,3,7,15,4,5,7,9
THERMAX,2024-12-30,6,4.0,164571,47770.0,43.0,244.0,N,Y,,,6,5,14,3,6,7,9
THOMASCOOK,2024-12-30,26,46.0,220960,353992.0,-43.0,-37.0,N,N,,,7,2,16,0,9,3,13
THYROCARE,2024-12-30,10,9.0,14523,17611.0,17.0,-17.0,N,N,,,3,5,17,2,7,3,13
TI,2024-12-30,22,52.0,230544,386206.0,-57.0,-40.0,N,N,,,7,5,13,4,5,4,12
TIIL,2024-12-30,6,5.0,9505,9450.0,17.0,0.0,N,N,,,3,8,14,3,6,7,9
TIINDIA,2024-12-30,5,7.0,67594,93129.0,-21.0,-27.0,Y,Y,,,7,7,11,2,7,5,11
TIMETECHNO,2024-12-30,26,34.0,309283,306282.0,-21.0,0.0,N,N,,,8,3,14,6,3,8,8
TIMKEN,2024-12-30,3,4.0,48595,26656.0,-18.0,82.0,N,Y,,,5,8,12,3,6,6,10
TIPSFILMS,2024-12-30,8,15.0,3793,16896.0,-43.0,-77.0,N,N,,,7,5,13,1,8,3,13
TIPSMUSIC,2024-12-30,8,12.0,139942,112776.0,-31.0,24.0,N,N,,,6,6,13,3,6,6,10
TIRUMALCHM,2024-12-30,19,23.0,135995,151764.0,-15.0,-10.0,N,N,,,7,4,14,0,9,1,15
TITAGARH,2024-12-30,22,23.0,625516,465909.0,-2.0,34.0,N,Y,,,10,5,10,2,7,2,14
TITAN,2024-12-30,16,11.0,657190,467254.0,45.0,40.0,Y,Y,,,5,7,13,1,8,4,12
TMB,2024-12-30,18,20.0,53263,50425.0,-9.0,5.0,N,N,,,5,4,16,3,6,6,10
TNIDETF,2024-12-30,209,97.0,148480,82583.0,113.0,79.0,N,N,,,7,3,15,6,3,10,6
TNPETRO,2024-12-30,48,59.0,54508,59254.0,-17.0,-8.0,N,N,,,4,5,16,0,9,1,15
TNPL,2024-12-30,63,77.0,94495,316526.0,-18.0,-70.0,N,N,,,7,4,14,0,9,1,15
TNTELE,2024-12-30,98,167.0,10848,46862.0,-40.0,-76.0,N,N,,,9,5,11,2,7,5,11
TOKYOPLAST,2024-12-30,26,26.0,7056,10255.0,0.0,-31.0,N,N,,,7,5,13,3,6,5,11
TOLINS,2024-12-30,36,46.0,87344,161101.0,-21.0,-45.0,N,N,,,6,5,14,1,8,3,13
TOP100CASE,2024-12-30,126,181.0,177163,298603.0,-30.0,-40.0,N,N,,,4,6,15,2,5,4,8
TOP10ADD,2024-12-30,37,642.0,9559,226753.0,-94.0,-95.0,N,N,,,4,3,18,1,8,4,12
TORNTPHARM,2024-12-30,19,8.0,781365,152556.0,124.0,412.0,Y,Y,,,8,4,13,5,4,9,7
TORNTPOWER,2024-12-30,11,17.0,633882,419867.0,-32.0,50.0,N,Y,,,4,5,16,2,7,7,9
TOTAL,2024-12-30,31,38.0,3006,8386.0,-18.0,-64.0,N,N,,,5,3,17,4,5,5,11
TOUCHWOOD,2024-12-30,16,25.0,5183,4112.0,-35.0,26.0,N,N,,,10,4,11,2,7,5,11
TPLPLASTEH,2024-12-30,78,85.0,45944,39194.0,-8.0,17.0,N,N,,,8,9,8,3,6,5,11
TRACXN,2024-12-30,118,86.0,167133,166450.0,36.0,0.0,N,N,,,6,5,14,1,8,3,12
TRANSRAILL,2024-12-30,47,49.0,1602324,8906748.0,-2.0,-82.0,N,N,,,0,0,1,0,3,0,3
TRANSWORLD,2024-12-30,15,27.0,16395,41573.0,-44.0,-60.0,N,N,,,5,6,14,1,8,4,12
TREJHARA,2024-12-30,52,,8817,,,,N,N,,,8,3,14,0,2,0,2
TREL,2024-12-30,137,167.0,193558,315695.0,-17.0,-38.0,N,N,,,5,8,12,2,7,4,12
TRENT,2024-12-30,10,8.0,583328,290219.0,19.0,100.0,Y,Y,,,8,5,12,1,8,6,10
TRF,2024-12-30,20,21.0,14481,40962.0,-3.0,-64.0,N,N,,,6,5,14,0,9,2,14
TRIDENT,2024-12-30,193,296.0,1690580,4312722.0,-34.0,-60.0,N,Y,,,5,3,17,1,8,3,13
TRIGYN,2024-12-30,34,40.0,20748,33012.0,-15.0,-37.0,N,N,,,6,7,12,2,7,3,13
TRITURBINE,2024-12-30,23,24.0,374726,396181.0,-5.0,-5.0,N,Y,,,9,5,11,1,8,4,12
TRIVENI,2024-12-30,48,31.0,1915947,436716.0,55.0,338.0,N,Y,,,9,2,14,4,5,7,9
TTKHLTCARE,2024-12-30,7,4.0,2806,1503.0,69.0,86.0,N,N,,,5,7,13,0,9,2,14
TTKPRESTIG,2024-12-30,3,5.0,5189,10859.0,-29.0,-52.0,N,N,,,6,5,14,0,9,2,14
TTML,2024-12-30,98,167.0,742783,2054651.0,-41.0,-63.0,N,Y,,,7,1,17,1,8,1,15
TVSELECT,2024-12-30,51,,76210,,,,N,N,,,9,2,14,0,2,0,2
TVSHLTD,2024-12-30,1,2.0,8887,3057.0,-9.0,190.0,N,N,,,3,7,15,3,6,7,9
TVSMOTOR,2024-12-30,25,13.0,1847762,252101.0,80.0,632.0,Y,Y,,,7,5,13,4,5,10,6
TVSSCS,2024-12-30,33,42.0,239569,288710.0,-20.0,-17.0,N,Y,,,5,5,15,0,9,1,15
TVSSRICHAK,2024-12-30,4,2.0,1250,1051.0,39.0,18.0,N,N,,,7,6,12,3,6,5,11
TVTODAY,2024-12-30,22,30.0,27917,32409.0,-26.0,-13.0,N,N,,,4,8,13,5,4,7,9
UBL,2024-12-30,5,11.0,17515,88896.0,-54.0,-80.0,Y,Y,,,8,0,17,2,7,5,11
UCAL,2024-12-30,37,43.0,48429,109035.0,-14.0,-55.0,N,N,,,8,2,15,0,9,1,15
UCOBANK,2024-12-30,164,222.0,863265,1451252.0,-26.0,-40.0,N,Y,,,5,7,13,3,6,5,11
UDAICEMENT,2024-12-30,87,167.0,108314,197556.0,-47.0,-45.0,N,N,,,5,4,16,0,9,1,15
UDS,2024-12-30,26,34.0,73423,147706.0,-23.0,-50.0,N,N,,,5,5,15,2,7,5,11
UFLEX,2024-12-30,18,14.0,19708,50502.0,21.0,-60.0,N,N,,,8,6,11,1,8,4,12
UFO,2024-12-30,41,46.0,40233,44473.0,-10.0,-9.0,N,N,,,7,3,15,2,7,3,13
UGARSUGAR,2024-12-30,64,112.0,50114,110302.0,-42.0,-54.0,N,N,,,5,7,13,2,7,4,12
UGROCAP,2024-12-30,37,47.0,70522,68752.0,-21.0,2.0,N,N,,,8,4,13,3,6,7,9
UJJIVANSFB,2024-12-30,210,254.0,2791073,3375125.0,-17.0,-17.0,N,Y,,,5,4,16,1,7,2,13
ULTRACEMCO,2024-12-30,4,5.0,96477,112200.0,-9.0,-14.0,Y,Y,,,7,4,14,3,6,6,10
UMAEXPORTS,2024-12-30,237,,149371,,,,N,N,,,8,2,15,2,0,2,0
UMANGDAIRY,2024-12-30,38,49.0,21388,50201.0,-23.0,-57.0,N,N,,,10,2,13,0,9,1,15
UMESLTD,2024-12-30,279,211.0,20777,43752.0,32.0,-52.0,N,N,,,10,4,11,4,5,7,9
UNICHEMLAB,2024-12-30,7,8.0,11427,12404.0,-3.0,-7.0,N,N,,,4,9,12,3,6,5,11
UNIDT,2024-12-30,16,18.0,14432,22743.0,-13.0,-36.0,N,N,,,7,5,13,4,5,5,11
UNIECOM,2024-12-30,43,50.0,120603,359815.0,-15.0,-66.0,N,N,,,7,4,14,3,6,4,12
UNIENTER,2024-12-30,14,22.0,11360,21659.0,-35.0,-47.0,N,N,,,8,3,14,1,8,4,12
UNIINFO,2024-12-30,51,62.0,10774,46228.0,-18.0,-76.0,N,N,,,7,2,16,0,9,2,14
UNIONBANK,2024-12-30,277,211.0,18453452,3605750.0,31.0,411.0,Y,Y,,,6,4,15,3,6,6,9
UNIPARTS,2024-12-30,25,22.0,36448,29326.0,8.0,24.0,N,N,,,5,5,15,2,7,4,12
UNITDSPR,2024-12-30,45,17.0,3056069,368624.0,163.0,729.0,Y,Y,,,7,4,14,6,3,12,4
UNITEDTEA,2024-12-30,8,18.0,2231,17234.0,-53.0,-87.0,N,N,,,8,1,16,5,4,8,8
UNIVASTU,2024-12-30,119,45.0,124001,16102.0,163.0,670.0,N,N,,,7,7,11,3,6,5,11
UNIVCABLES,2024-12-30,25,20.0,86477,66197.0,23.0,30.0,N,N,,,7,6,12,7,2,9,7
UNOMINDA,2024-12-30,8,12.0,143915,231195.0,-28.0,-37.0,N,Y,,,6,6,13,7,2,10,6
UPL,2024-12-30,54,58.0,1147969,977586.0,-6.0,17.0,Y,Y,,,8,6,11,2,7,5,11
URAVI,2024-12-30,7,48.0,1237,8536.0,-84.0,-85.0,N,N,,,5,7,13,3,6,4,8
USHAMART,2024-12-30,33,30.0,593624,293207.0,9.0,102.0,N,Y,,,5,6,14,2,7,4,12
USK,2024-12-30,83,70.0,213034,55518.0,18.0,283.0,N,N,,,4,6,15,2,7,4,12
UTIAMC,2024-12-30,13,8.0,235938,77872.0,49.0,202.0,N,Y,,,8,5,12,5,4,8,8
UTIBANKETF,2024-12-30,124,187.0,79334,149426.0,-33.0,-46.0,N,N,,,4,5,16,5,4,9,7
