Symbol,Lot Size,Future OI,Change (Future OI),# of lots change (Future OI),% Change in Future_OI,PE OI,Change (PE OI),# of lots change (PE OI),% Change (PE OI),CE OI,Change (CE OI),# of lots change (CE OI),% Change (CE OI),VWAP,CLOSE PRICE,Change CE / PE Ratio (OI),Delivery %,% Change in Price,% Change in Price From Low,% Change in Price From High,Decision (Based on Options,Decision (Based on Futures,Decision (Based on Price
POWERGRID,1800,72091800,-523800,-291.0,-0.721333,10814400,0,0.0,0.0,21124800,1573200,874.0,8.0464,316.03,316.05,0,56.18,0.002856,0.007652,0.006132,None,None,Strong. Price Close Above VWAP.
PRESTIGE,325,2498275,6500,20.0,0.260858,437125,6825,21.0,1.586103,610025,13975,43.0,2.344602,1661.23,1656.25,2.047619,59.44,-0.003729,0.005799,0.015309,None,None,Weak. Price Close Below VWAP.
PVRINOX,407,4076105,-4477,-11.0,-0.109715,1823767,70818,174.0,4.039935,2876269,146927,361.0,5.383239,1312.67,1302.15,2.074713,47.19,-0.013672,0.005444,0.020203,None,Possible Sell,Weak. Price Close Below VWAP.
RAMCOCEM,850,6104700,-117300,-138.0,-1.885246,1592050,-48450,-57.0,-2.953368,2059550,-109650,-129.0,-5.054859,986.51,985.7,2.263158,50.1,-0.000101,0.004279,0.009297,None,None,Weak. Price Close Below VWAP.
RBLBANK,2500,78805000,-1842500,-737.0,-2.284634,22085000,-637500,-255.0,-2.805589,24715000,-1702500,-681.0,-6.444592,161.06,162.79,2.670588,29.36,0.023064,0.028299,0.007378,None,Possible Buy,Strong. Price Close Above VWAP.
RECLTD,1000,48764000,-1792000,-1792.0,-3.544584,15096000,1087000,1087.0,7.759298,17757000,-1181000,-1181.0,-6.236139,534.54,538.05,-1.086477,33.12,0.037805,0.03501,0.012209,None,Possible Buy,Strong. Price Close Above VWAP.
RELIANCE,500,187610000,-1289500,-2579.0,-0.682638,46492500,216500,433.0,0.467845,62781500,-354500,-709.0,-0.561486,1250.34,1251.15,-1.637413,58.22,0.007529,0.012667,0.008637,None,None,Strong. Price Close Above VWAP.
SAIL,4000,150216000,2336000,584.0,1.579659,30296000,248000,62.0,0.825346,40596000,1924000,481.0,4.975176,114.92,114.17,7.758065,27.27,0.000877,0.005903,0.014927,None,None,Weak. Price Close Below VWAP.
SBICARD,800,21760800,414400,518.0,1.941311,5428800,487200,609.0,9.859155,7161600,1913600,2392.0,36.463415,714.34,723.55,3.92775,45.81,0.029671,0.03653,0.007067,Possible Sell,Possible Buy,Strong. Price Close Above VWAP.
SBILIFE,375,12225000,25500,68.0,0.209025,1525875,42000,112.0,2.830427,2041500,54750,146.0,2.755757,1443.71,1447.7,1.303571,56.51,0.017894,0.016001,0.002274,None,None,Strong. Price Close Above VWAP.
