TICKER,NSE CODE,GOOGLE CODE,LAST PRICE,ATM STRIKE,ATM CE VALUE,ATM PE VALUE,UPPER BAND CONS,LOWER BAND CONS,COMBINED PREMIUM,% PREMIUM
RBL Bank Limited (XNSE:RBLBANK),RBLBANK,NSE:RBLBANK,158.66,157.5,8.05,6.9,172.45,142.55,14.95,9.42%
REC Limited (XNSE:RECLTD),RECLTD,NSE:RECLTD,511.55,510.0,19.15,17.65,546.8,473.2,36.8,7.19%
Reliance Industries Limited (XNSE:RELIANCE),RELIANCE,NSE:RELIANCE,1229.3,1230.0,28.15,28.35,1286.5,1173.5,56.5,4.6%
Steel Authority of India Limited (XNSE:SAIL),SAIL,NSE:SAIL,116.34,117.5,3.75,4.8,126.05,108.95,8.55,7.35%
SBI Cards and Payment Services Limited (XNSE:SBICARD),SBICARD,NSE:SBICARD,675.8,675.0,16.85,15.8,707.65,642.35,32.65,4.83%
SBI Life Insurance Company Limited (XNSE:SBILIFE),SBILIFE,NSE:SBILIFE,1414.9,1420.0,34.55,38.55,1493.1,1346.9,73.1,5.17%
State Bank of India (XNSE:SBIN),SBIN,NSE:SBIN,805.8,810.0,17.95,21.8,849.75,770.25,39.75,4.93%
SHREE CEMENT LIMITED (XNSE:SHREECEM),SHREECEM,NSE:SHREECEM,25361.75,25250.0,1483.5,871.75,27605.25,22894.75,2355.25,9.29%
Shriram Finance Limited (XNSE:SHRIRAMFIN),SHRIRAMFIN,NSE:SHRIRAMFIN,2919.0,2900.0,112.15,91.75,3103.9,2696.1,203.9,6.99%
Siemens Limited (XNSE:SIEMENS),SIEMENS,NSE:SIEMENS,6582.2,6600.0,222.65,233.95,7056.6,6143.4,456.6,6.94%
SJVN Limited (XNSE:SJVN),SJVN,NSE:SJVN,107.97,107.5,4.7,3.8,116.0,99.0,8.5,7.87%
Sona BLW Precision Forgings Limited (XNSE:SONACOMS),SONACOMS,NSE:SONACOMS,603.05,600.0,23.05,19.75,642.8,557.2,42.8,7.1%
SRF Limited (XNSE:SRF),SRF,NSE:SRF,2274.5,2280.0,58.3,65.55,2403.85,2156.15,123.85,5.45%
Sun Pharmaceutical Industries Limited (XNSE:SUNPHARMA),SUNPHARMA,NSE:SUNPHARMA,1870.2,1880.0,30.85,40.2,1951.05,1808.95,71.05,3.8%
Sun TV Network Limited (XNSE:SUNTV),SUNTV,NSE:SUNTV,687.35,690.0,18.95,20.0,728.95,651.05,38.95,5.67%
Supreme Industries Limited (XNSE:SUPREMEIND),SUPREMEIND,NSE:SUPREMEIND,4795.4,4800.0,181.35,181.9,5163.25,4436.75,363.25,7.57%
Syngene International Limited (XNSE:SYNGENE),SYNGENE,NSE:SYNGENE,856.55,860.0,22.5,26.45,908.95,811.05,48.95,5.71%
Tata Chemicals Limited (XNSE:TATACHEM),TATACHEM,NSE:TATACHEM,1052.65,1060.0,29.2,35.7,1124.9,995.1,64.9,6.17%
Tata Communications Limited (XNSE:TATACOMM),TATACOMM,NSE:TATACOMM,1726.7,1720.0,59.0,51.65,1830.65,1609.35,110.65,6.41%
TATA CONSUMER PRODUCTS LIMITED (XNSE:TATACONSUM),TATACONSUM,NSE:TATACONSUM,912.25,910.0,23.65,21.05,954.7,865.3,44.7,4.9%
Tata Elxsi Limited (XNSE:TATAELXSI),TATAELXSI,NSE:TATAELXSI,6919.05,6900.0,228.55,204.1,7332.65,6467.35,432.65,6.25%
