SYMBOL,DATE,qnty_per_trade,avg_qnty_per_trade,deliv_qty,avg_deliv_qty,trade_qty_deviation,delivery_qty_deviation,F&O,NIFTY_500,ROC_RS_7,ROC_RS_14,AD_Count,DD_Count,NA_Count,vwap_positive_7days,vwap_negative_7days,vwap_positive_14days,vwap_negative_14days
RAMANEWS,2025-01-17,151,155.0,26140,25378.0,-2.0,3.0,N,N,,,5,7,13,11,17,35,52
RAMAPHO,2025-01-17,11,22.0,10268,38969.0,-46.0,-73.0,N,N,,,4,5,16,3,25,49,38
RAMASTEEL,2025-01-17,531,587.0,1850776,2695758.0,-9.0,-31.0,N,N,,,3,6,16,4,24,45,42
RAMCOCEM,2025-01-17,20,18.0,115279,115042.0,14.0,0.0,Y,Y,,,5,5,15,14,14,58,29
RAMCOIND,2025-01-17,27,32.0,21787,50829.0,-16.0,-57.0,N,N,,,5,7,13,11,17,55,32
RAMCOSYS,2025-01-17,16,21.0,14627,28196.0,-22.0,-48.0,N,N,,,3,8,14,2,26,31,56
RAMKY,2025-01-17,30,30.0,21078,38943.0,0.0,-45.0,N,N,,,4,8,13,2,26,31,56
RAMRAT,2025-01-17,21,12.0,8126,8681.0,66.0,-6.0,N,N,,,6,7,12,18,10,50,37
RANASUG,2025-01-17,194,178.0,65942,126869.0,8.0,-48.0,N,N,,,2,7,16,20,8,27,43
RANEENGINE,2025-01-17,8,10.0,1055,3324.0,-22.0,-68.0,N,N,,,5,8,12,2,26,43,44
RANEHOLDIN,2025-01-17,4,5.0,2567,3780.0,-25.0,-32.0,N,N,,,4,4,17,2,26,46,41
RATEGAIN,2025-01-17,12,10.0,44578,61497.0,16.0,-27.0,N,N,,,3,7,15,4,24,54,33
RATNAMANI,2025-01-17,11,3.0,77732,9836.0,289.0,690.0,N,Y,,,3,6,16,8,20,38,49
RATNAVEER,2025-01-17,62,53.0,113438,122177.0,15.0,-7.0,N,N,,,4,6,15,2,26,31,56
RAYMOND,2025-01-17,10,11.0,44860,92179.0,-1.0,-51.0,N,Y,,,4,3,18,1,27,18,69
RAYMONDLSL,2025-01-17,7,10.0,24172,40716.0,-26.0,-40.0,N,N,,,4,8,13,3,25,25,62
RBA,2025-01-17,83,92.0,648960,599027.0,-10.0,8.0,N,N,,,6,7,12,2,26,38,49
RBL,2025-01-17,6,5.0,5083,1954.0,17.0,160.0,N,N,,,5,7,13,4,24,28,59
RBLBANK,2025-01-17,186,188.0,2760600,2708061.0,-1.0,1.0,Y,Y,,,4,9,12,4,24,38,49
RBZJEWEL,2025-01-17,86,73.0,95799,150340.0,16.0,-36.0,N,N,,,5,8,12,1,27,33,54
RCF,2025-01-17,93,95.0,910117,819424.0,-1.0,11.0,N,Y,,,6,3,16,2,26,31,56
RECLTD,2025-01-17,77,72.0,1870521,2906729.0,6.0,-35.0,Y,Y,,,4,7,14,2,26,52,35
REDINGTON,2025-01-17,53,52.0,926281,805438.0,0.0,15.0,N,Y,,,6,3,16,6,22,28,59
REDTAPE,2025-01-17,12,12.0,12341,28564.0,-6.0,-56.0,N,N,,,4,6,15,3,25,44,43
REFEX,2025-01-17,44,53.0,82129,147317.0,-17.0,-44.0,N,N,,,7,8,10,2,26,10,32
RELAXO,2025-01-17,6,6.0,21219,21678.0,0.0,-2.0,N,N,,,5,8,12,2,26,46,41
RELCHEMQ,2025-01-17,14,17.0,1674,4424.0,-16.0,-62.0,N,N,,,3,10,12,8,20,20,67
RELIABLE,2025-01-17,18,12.0,6064,2354.0,47.0,157.0,N,N,,,4,9,12,2,26,52,35
RELIANCE,2025-01-17,49,43.0,15634926,7079764.0,12.0,120.0,Y,Y,,,6,5,14,13,15,66,21
RELIGARE,2025-01-17,42,59.0,323638,889814.0,-28.0,-63.0,N,N,,,5,5,15,17,11,54,33
RELINFRA,2025-01-17,114,189.0,1139683,2276847.0,-39.0,-49.0,N,N,,,6,6,13,0,28,41,46
RELTD,2025-01-17,39,65.0,37071,45710.0,-40.0,-18.0,N,N,,,6,5,14,19,9,41,46
REMSONSIND,2025-01-17,34,29.0,12498,33377.0,18.0,-62.0,N,N,,,5,8,12,11,17,23,64
RENUKA,2025-01-17,198,220.0,1186654,1277390.0,-10.0,-7.0,N,Y,,,4,6,15,5,23,20,67
REPCOHOME,2025-01-17,15,18.0,57799,100390.0,-14.0,-42.0,N,N,,,1,11,13,8,20,37,50
REPRO,2025-01-17,10,11.0,2813,4558.0,-3.0,-38.0,N,N,,,2,6,17,15,13,24,63
RESPONIND,2025-01-17,51,185.0,64012,645442.0,-72.0,-90.0,N,N,,,4,5,16,4,24,52,35
RETAIL,2025-01-17,174,68.0,13306,4971.0,153.0,167.0,N,N,,,4,6,15,17,11,33,54
RGL,2025-01-17,84,107.0,154012,276168.0,-21.0,-44.0,N,N,,,5,5,15,19,9,51,36
RHIM,2025-01-17,10,13.0,26645,115231.0,-19.0,-76.0,N,Y,,,6,6,13,11,17,48,39
RICOAUTO,2025-01-17,87,92.0,299173,669548.0,-5.0,-55.0,N,N,,,4,7,14,2,26,17,63
RIIL,2025-01-17,14,16.0,29303,89662.0,-13.0,-67.0,N,N,,,4,7,14,2,26,26,61
RISHABH,2025-01-17,16,15.0,11044,11902.0,6.0,-7.0,N,N,,,6,7,12,0,28,41,46
RITCO,2025-01-17,32,28.0,64982,43356.0,13.0,49.0,N,N,,,9,5,11,1,27,28,59
RITES,2025-01-17,46,62.0,477907,570721.0,-25.0,-16.0,N,Y,,,5,7,13,2,26,31,56
RKEC,2025-01-17,41,66.0,14403,28487.0,-36.0,-49.0,N,N,,,5,7,13,4,24,42,42
RKFORGE,2025-01-17,21,19.0,267097,175257.0,10.0,52.0,N,Y,,,6,6,13,2,26,24,63
RKSWAMY,2025-01-17,16,33.0,20968,39015.0,-49.0,-46.0,N,N,,,7,4,14,21,7,45,42
RML,2025-01-17,49,8.0,65261,5663.0,484.0,1052.0,N,N,,,3,9,13,0,28,50,37
ROHLTD,2025-01-17,20,36.0,11361,73773.0,-44.0,-84.0,N,N,,,7,3,15,6,22,21,66
ROLEXRINGS,2025-01-17,3,4.0,2776,7517.0,-18.0,-63.0,N,N,,,3,7,15,17,11,43,44
ROML,2025-01-17,47,38.0,10235,13382.0,21.0,-23.0,N,N,,,7,5,13,1,27,52,35
ROSSARI,2025-01-17,7,6.0,8657,22086.0,11.0,-60.0,N,N,,,5,6,14,25,3,64,23
ROSSTECH,2025-01-17,19,16.0,9449,10734.0,14.0,-11.0,N,N,,,3,9,13,17,11,67,20
ROTO,2025-01-17,29,40.0,29676,97615.0,-26.0,-69.0,N,N,,,2,4,19,7,21,45,42
ROUTE,2025-01-17,7,6.0,15236,17654.0,17.0,-13.0,N,Y,,,2,6,17,3,25,20,67
RPEL,2025-01-17,12,13.0,35514,28143.0,-12.0,26.0,N,N,,,7,5,13,2,26,46,41
RPGLIFE,2025-01-17,3,5.0,2178,6028.0,-31.0,-63.0,N,N,,,4,6,15,3,25,39,48
RPOWER,2025-01-17,436,522.0,9160066,12478744.0,-16.0,-26.0,N,N,,,6,4,15,4,24,43,44
